,sentiment
小米,-6.219685920204256
雷总,-6.243921293265782
捂脸,-6.07441733035407
青春,-6.2276858837633675
手机,-6.306937371179962
看,-6.270955847206238
雷,-6.343728551809661
呲牙,-5.469151311331627
雷军,-6.397966433593717
鼓掌,-8.68707219788101
好,-6.376333424393248
想,-6.921970462276121
华为,-6.278544677546627
买,-6.1980729035392725
看看,-5.595827113868491
总,-6.654850168724875
喜欢,-5.586754046302833
年轻,-6.222561611032727
赞,-6.264541364403622
现在,-6.616560491311455
版,-5.878634329882381
微笑,-6.299260722063083
布斯,-5.4310867720300635
泣不成声,-6.869530641835413
玫瑰,-5.408607257782424
支持,-5.928331381572685
米,-6.571377995870572
说,-6.967220742657145
加油,-5.761796854776534
泪奔,-8.594023215576238
不能,-6.762991646024913
米粉,-6.684990429798001
人,-6.947644521032824
没有,-6.5789265324006445
年轻人,-6.931367383483259
奸笑,-7.959092812033911
没,-6.757129883720897
灵机一动,-6.197168109900191
老板,-6.15747496366148
做,-6.652696018756751
一下,-7.363649552683454
真的,-6.149359343671569
特别,-9.064224106520797
希望,-7.664369474766604
赞赞,-6.5818365171130555
知道,-6.3303414419799635
不是,-5.994642712072615
感觉,-7.022914088685816
你家,-5.101255775503228
流泪,-10.057889428047815
去,-6.293089807137827
爱,-5.784239494286749
价格,-5.784952882457504
一起加油,-8.387976285002225
干翻,-4.3257636491008356
比心,-6.418445315299644
抖音,-6.233436629800419
抠鼻,-6.8917253343557245
永远,-5.541832986296118
不要,-6.1777631585044865
请问,-6.4289033194361185
问题,-6.843551634730358
苹果,-7.313693160480294
帅,-5.1555464090887915
赞赞赞,-5.483176612808726
有没有,-6.381586188517682
换,-6.825778106612033
更新,-5.93710263139739
梦想,-6.583193081324037
直播,-5.864072875525803
是不是,-6.43449573978706
你好,-5.594143814695516
沙子,-11.095024417120854
红米,-5.948928700370644
关注,-6.379894437360025
越来越,-5.727415761334738
产品,-7.476494750119938
问,-5.55595083522659
朋友,-5.408761931432877
可怜,-9.708794005308587
大家,-5.438005255154266
不错,-5.731615007252627
终于,-5.401888295521216
年,-6.820231966038593
总是,-6.053698122269395
偶像,-5.781566090938922
翻,-5.576712416692314
送,-5.351956320103843
湖北,-5.240743027412759
觉得,-6.351940915421544
卖,-6.451425575576424
少年,-6.110413325040235
下,-7.81667077279151
酷拽,-6.410595700148083
逼,-5.481458699785268
耶,-5.309510121641395
摄像头,-7.0933334306428755
再,-7.104938939519832
发型,-5.8768332288277465
大笑,-6.268272207092084
老,-4.98291431340839
已经,-6.5215707971606145
屏幕,-6.981960905109933
电池,-6.902390736749965
想要,-4.864289436221721
发布,-5.868110286545212
应该,-6.632183014274824
雷哥,-5.561984775279809
公司,-6.792186597750202
老师,-5.684508038146969
打造,-5.438023180826503
点,-6.569407021317436
搞,-6.117469705111061
我要,-5.41748569830712
有点,-5.8145028863965456
感谢,-6.256196617715431
钱,-5.600845425518645
看到,-5.421519458310282
发布会,-6.146523118664776
几个,-6.142802351114796
送心,-5.507466538912249
大学,-6.079464980248314
牛,-4.871800377108963
号,-5.689494352580242
里,-6.774394732454244
多少钱,-4.392699749332195
雷军雷,-4.760483791522741
不会,-7.2427993673843725
真,-5.813792235343941
视频,-6.1287563002356125
黑,-5.538462341769925
帅气,-4.473961935125319
粉丝,-6.230538117593259
老乡,-5.493157422745005
啥时候,-5.414775765415953
