,sentiment
捂脸,-0.5107095894820377
吃,-0.7743848820601087
看,-0.7623015362364063
翻,-0.5833129721683805
泣不成声,-0.532020580714186
呲牙,-0.4932713849470499
减肥,-0.8422524984551156
视频,-0.7831434131322663
戒指,-0.7796148838940411
瘦,-0.5730354502174552
求翻,-0.44821829704209476
完,-0.6165832579802139
泪奔,-0.55539806060931
看看,-0.5528845860119135
流泪,-0.4519190597457635
拍,-0.5269122389631442
送心,-0.48000717830781225
姐,-0.5977403791651963
想,-0.5808286547928886
买,-0.6895892627278405
玫瑰,-0.48617235242431245
没有,-0.7085281414165824
去,-0.5839767354260951
鼓掌,-0.6173065524453827
取关,-0.4538911930119414
好,-0.6465520720736042
姐姐,-0.6168094952058751
胖,-0.6470439958718195
分钟,-0.44062313090239424
说,-0.7423965553031605
微笑,-0.5577380733745393
今天,-0.6277558140462043
莹莹,-0.5948589934653609
不是,-0.6486838007416178
没,-0.6233559987343718
可爱,-0.6340008677022932
一下,-0.6674146028790102
加油,-0.6415393113694872
是不是,-0.5669946957976905
真的,-0.6269410622082188
感觉,-0.5845207323824183
不吃,-0.5744519148108999
东西,-0.5864942954638275
喜欢,-0.5156590462958914
粉丝,-0.839906161227941
男朋友,-0.5252874037217116
灵机一动,-0.5190531166403096
知道,-0.6561907565176437
赞,-0.5703164656806212
热乎,-0.4207621476890916
小姐姐,-0.532159144998934
好像,-0.5323744497406606
老公,-0.448712299470585
看到,-0.6992106709495651
可油,-0.6882053829933773
不会,-0.6480851095440773
猫,-0.49238280502793325
不翻,-0.5814067576128303
好看,-0.5745884816476737
赵晓茜,-0.5229260668865092
不要,-0.6291744036530552
再,-0.6195267058911114
撇嘴,-0.3421723311953709
啊啊啊,-0.5759470872236152
觉得,-0.5614016058686104
成功,-0.5438642697569172
头发,-0.7282267456764122
不失礼貌的微笑,-0.5464834869058368
哈哈哈哈,-0.7590187930531366
克油克油,-0.6262834822088343
有点,-0.5132814402125978
小,-0.5712907103847668
哈哈哈,-0.594589559582396
关注,-0.6568243608986535
黑脸,-0.5059667716603508
肉,-0.553211314108936
快,-0.5792256384398263
秒,-0.35249518016379555
终于,-0.5324445293701376
下来,-0.5203402610375385
可怜,-0.5550503266496951
以前,-0.6309873993267476
翻翻,-0.5086759809216475
饿,-0.5854906346919291
狗,-0.5961958325611412
现在,-0.5666287240422891
每天,-0.6109549493960188
奶昔,-0.5861713542566533
好吃,-0.5777712985350372
坏笑,-0.5854552921124201
计划,-0.6241247399994345
快哭了,-0.42279032623562907
爱,-0.43761055548810024
喝,-0.6127894489690395
一定,-0.5853338051199257
已经,-0.4627779423737317
不能,-0.48660081125527677
害羞,-0.5186441409215236
后,-0.43412675031662007
长胖,-0.5168180011865462
赞赞,-0.5628904011048225
大笑,-0.45470130261030683
自律,-0.4714987116471575
粉,-0.5928553091441288
真,-0.46712974698456244
调皮,-0.5665109322077594
勒,-0.3568283641730281
偷笑,-0.6095254829081067
奸笑,-0.47994083485307437
求,-0.4799476623364304
耶,-0.3476215986020565
人,-0.6190631987743516
吃饭,-0.5067233055285998
抠鼻,-0.5326004172967393
一次,-0.5163796668837367
超市,-0.5467425541394203
漂亮,-0.3974220481431251
肯定,-0.43351664609506074
吃海鲜,-0.3896694129669349
爱心,-0.48888784586194284
手指,-0.4006285079043619
机智,-0.5042392119099622
之前,-0.5119150727078099
住,-0.5784967220361626
确定,-0.4088847363165192
一点,-0.38787242422591683
太,-0.4454493796240677
起来,-0.4305100331677425
里,-0.527308137718689
翻过,-0.4729422437678063
蟹,-0.5105229312898091
强壮,-0.33678500248391685
其实,-0.4089313263027228
馋,-0.39618689191828815
冰淇淋,-0.40132637981406416
拥抱,-0.4402578975926068
听说,-0.4249969713486349
糊,-0.3747787683191549
录完,-0.3498007427028539
链接,-0.4623591801506214
手上,-0.31828428795674013
呆无辜,-0.46130172978981476
海鲜,-0.40471365392175407
减,-0.496301525396201
看见,-0.4651532393093645
螃蟹,-0.49245736007175495
诱惑,-0.43013786370220475
带,-0.36073278765229044
一口,-0.40216823484244646
以后,-0.3971836735148795
样子,-0.36939365032475624
恭喜,-0.435649788640051
第一,-0.28885420119057215
不用,-0.30005693087576596
可能,-0.40800643818550797
发现,-0.41558102427945
看着,-0.46902213049928354
一只,-0.5206174347725878
一分钟,-0.2760732539900625
告诉,-0.4293118721118261
晚上,-0.4086578562392451
出来,-0.4250313406111888
手机,-0.46098006116566426
更新,-0.32792841446503773
变成,-0.43206447205364307
螺蛳,-0.4522350409628904
瘦下来,-0.4330302340486367
比心,-0.36860864488203343
下,-0.2749131082300752
应该,-0.35816762442851574
做,-0.44538058590261265
明天,-0.3427423634430355
养,-0.44651896063515906
手,-0.2414660787269136
我要,-0.38900578086280463
芒果,-0.28275690121887537
小猫,-0.257202557410098
结束,-0.3367250768374185
不了,-0.35457100318287404
最后,-0.31720781065105363
万,-0.3946387335429021
坚持,-0.3613136701303536
天天,-0.36896000719592137
小猫猫,-0.32512145838741235
油克油,-0.41764977764115074
小时,-0.3011630390747486
张佳琦,-0.3227683725308139
名字,-0.33122228864989695
斤,-0.3401151120615633
毛,-0.395698911017941
有没有,-0.3723862087275499
点,-0.30744817052911655
青春,-0.336745330682091
