,sentiment
捂脸,281.88106746344357
玫瑰,1482.9829237949011
赞赞,1561.2559434896523
鼓掌,1339.6202064622012
好,704.1522150675055
呲牙,771.4927416887637
爱心,1442.7798109042897
泣不成声,183.09787439054818
看,-10.463233784037964
喜欢,621.0043712827743
人,283.39125728561186
比心,1117.9056512164073
想,-32.93575549564023
泪奔,115.9937318802875
微笑,778.4430740414722
说,265.9546424516158
赞赞赞,1384.830330058285
赞,850.1304166217569
流泪,393.376164813488
感谢,1319.902997032078
没,-226.05630265243647
去,-142.8711382353607
没有,-94.61632917262583
不是,-86.58615658048384
爱,532.8137947490175
好看,644.6468441149701
吃,-117.94333745449393
太,794.4236946308008
做,216.31520683795407
小,111.65599580183874
知道,-28.57858091448977
哈哈哈,276.91955975594726
真的,468.0719045476253
可爱,878.779208841379
加油,826.8693465662855
看到,-65.54571936135686
中国,636.0892231914836
哈哈哈哈,426.23541293080484
视频,73.96353696165284
感觉,151.70949788937432
现在,-96.3252451279121
看看,45.485732450921184
好听,780.8922964419185
真,761.3369901440292
送心,801.3601304791584
买,-294.30303321348185
漂亮,1007.2120393584803
一起加油,816.8209716487731
孩子,245.69037985098106
屏保,29.23690944743224
觉得,232.1477759344757
笑,225.08355928710714
一下,4.057836681174141
手机,-426.5939270917079
不会,-104.06382958185301
不能,-13.402253200087676
这种,272.664817618505
男,48.44112202023603
死,96.50910556000152
不要,-35.86735503384669
听,402.5883788940413
灵机一动,172.7274466894973
这是,67.2828142376427
抠鼻,-217.5536583457898
大笑,467.2056618508893
壁纸,62.89768967330651
笑哭,371.6548577778192
美女,796.875704427181
好像,-6.644453344301009
应该,103.62609074853074
关注,279.7238457913886
挺,613.430716855913
再,-127.55948914601814
拍,50.88477999892461
男人,401.8819353672692
家,60.852986126206794
出来,-125.78266356172026
打脸,169.00993883350498
最后,87.61723727973397
一起,15.03194636385992
发怒,480.95642285580004
唱,498.5428106062596
女人,487.96746306633474
以后,-89.3921914774679
别人,-66.5701626065355
下,-244.0214322725967
是不是,-63.404103547650536
快,-143.96032360162712
男朋友,-98.72105929059796
厉害,786.679372260899
发呆,-17.275612089924742
玩,-109.03925420524524
一定,353.51378357359175
里,-75.07740704956721
有点,154.35834553673033
老公,-43.012053112290246
今天,-55.16158261352147
抖音,1.7375917517456134
刷,-181.72617574765326
走,90.7519569198528
不错,574.7624452799907
酷拽,-188.43662949798244
强壮,970.430436319895
已经,-122.10369801671786
以为,-59.61125051549738
好好,445.1291154770219
找,-161.1064429038272
风格,779.8683855607212
戴口罩,303.8871537228488
哥哥,169.90019503352812
巧克力,1071.8463056375695
两个,92.49513234060086
卧槽,153.49373897423106
奸笑,14.555883320305544
姐姐,435.94741500998293
耶,566.9108214016875
英雄,887.7700809680804
害羞,526.648671968159
回来,105.3443742013158
老婆,139.39800406767387
求,180.2026174234398
穿,38.7578276450823
点,325.0320348200056
装修,635.7277017436297
祈祷,1075.0624403445865
大家,186.9696071260977
回家,579.0166506171765
女,89.02871256750609
我家,-12.97757336020536
小姐姐,348.19370106784265
谢谢,713.456230536367
啊啊啊,401.9328293162697
老师,436.3151703485789
电影,-118.43888848135728
刚刚,-119.89256204307893
起来,301.497071462394
欢迎,765.6829956774382
狗,26.062112943300694
老,320.32558974815583
发现,-120.25404326255921
希望,289.6753009042404
翻,196.93296140451034
朋友,392.9552792878219
逼,490.5613550444208
完,-180.5800421003832
钱,-108.30875334459768
哭,168.4777087286132
点赞,625.6745748217361
名字,75.64938098680759
带,-3.4932268259672616
想要,88.4689405421304
可能,0.8338306209647524
支持,804.6419757530729
渣,226.5568893930813
看着,392.9168837301632
快哭了,183.12049915209218
辛苦,945.6723838418998
问,-270.39990269850676
牛,490.79036959392363
评论,-73.63687684577322
看见,-139.65051984524425
有没有,-34.376378491404914
平安,1180.1802753046923
年,-46.48507199691686
一次,-163.29711392428203
可怜,341.222541997706
电视剧,104.83519416607976
原来,142.64356526578177
黑脸,-316.5942550932482
东西,-56.14949656413202
请,138.06319646099053
声音,362.7639764029925
儿子,111.40514583026695
刷到,-161.87058427223124
心心,981.3767139491238
兄弟,238.33278129424136
给力,1148.7600616566697
机智,284.07749756478097
偷笑,223.6734829120638
女朋友,-225.5466691213734
月,-240.6350700504119
以前,30.35397062202812
终于,39.117771559632
懂,121.97195321073579
妈妈,449.1030356410764
更新,-92.36862328358193
告诉,-89.40284612811695
美,670.8015983260509
有人,-46.41285174934127
我要,-95.60858044470677
直接,-124.58853105017585
怕,-15.97177678240183
不好,51.14844231871001
永远,468.29568043940924
特别,521.8276904856316
你好,652.1993886435803
头发,120.7564558247532
里面,2.109159894098302
肯定,23.61465080452526
世界,265.0855637650608
好多,51.17194860871676
不到,-239.70064966556222
为啥,-70.06122395482393
链接,-2.88350072271723
不失礼貌的微笑,-18.6191639812792
一点,146.22909217328353
衣服,114.9103993141129
需要,70.06316654388553
后,-43.12793275104153
居然,-48.89762413702356
家里,-127.93310320897763
刚,-113.13019909082163
开,-73.56459035642695
地方,135.4722867647427
后面,101.12955449347116
爱慕,1049.673205060076
女孩,164.58228621646913
其实,251.1833994096549
喝,-231.38390320920672
幸福,748.0267571359725
真是,405.82460811678504
跳,483.0393905007844
猫,11.023747753010614
危险,697.5668634671969
迷人,817.9923378312078
不了,-38.611209163240595
呆无辜,-42.26428717354385
调皮,516.1053835155931
来看我,600.3185179382299
一天,10.273202867872131
刚刷,121.42284128633182
柠檬,-209.47979179511412
宝宝,359.8450237767986
跑,-184.7240290993625
不用,-111.660800209211
努力,245.62507631904757
帅,432.67077617626865
你家,73.07678711922865
好帅,698.2302621438116
放,-271.2157871050875
人民,875.7899130975254
不想,-76.38571399044037
第一,87.26078536757146
问题,-130.40663917186566
音乐,230.98130155894506
宝贝,511.19068716293975
眼睛,191.71440840936947
火,164.08991740155017
样子,333.6361100037735
干,237.7608472274936
父母,95.85795800141278
不行,-35.64293572382057
有个,39.95711393864168
妈,39.776697855491726
一只,11.332735973850786
每次,34.23811121322178
请问,81.29054206736267
感动,646.902452501791
高,275.1049084082
所有,298.7041874643504
疫情,138.35224287544708
心,496.32606528729525
柠檬树,-321.8805194019326
女儿,301.6057855575467
好吃,354.9496788166216
送,66.41575070043726
记得,27.854663243910213
一种,340.19184504077793
天天,-15.635515966872493
粉丝,153.03060701513428
总,236.80554264456418
同学,222.82018648224857
口罩,72.10497922116129
帮,57.254893064333615
憨,392.2517850755593
歌,258.69821966685873
生活,349.42120562005925
车,-18.63122462939443
全国,447.82178380476086
女生,142.15142579932757
每天,-14.738457907576382
看过,60.16410017231806
哒,823.2885645136612
妹妹,256.92607414534825
电视,93.77607459957956
美国,126.3849357702941
几个,-7.642781984018535
事,59.389953155382784
瘦,145.92043064039564
爸爸,197.62709189637633
直播,-15.831353326132495
开心,295.29881117157765
快乐,357.1115257220564
男生,107.9202828868682
国家,378.9736393829605
画,258.44557508957365
保护,529.212236321773
晚上,-12.872984906653102
拥抱,273.8709751594473
手,61.226241582563304
突然,-46.07318938358043
骄傲,846.2189998083188
羡慕,452.97406567108044
吖,107.32696512012365
简单,454.19364981834053
碰拳,753.6034118280334
唱歌,524.276973817522
话,204.56607697639743
人生,195.06780033756962
奶奶,495.3258712597771
动态,63.881758366089485
生,126.17849082033577
首歌,262.0406988471084
有钱,227.6530936595682
小时候,98.55954142809398
温柔,369.2559687199389
一生,709.0379884808274
天,215.53512147799836
白眼,-167.69286718121293
找到,25.50952419571118
花,167.94694920622965
时间,-27.23899324316259
之前,-60.85388399776163
只能,91.65445752649146
白衣天使,807.6242659991785
卖,-65.78605260692109
爱情,95.62432566597025
发,-11.13592434703131
疑问,-127.17606795012114
一句,-26.7323674671099
致敬,796.8411232519124
必须,415.12523657830116
睡,-95.30414349592431
沙发,78.75135522144836
祖国,715.1064531442994
期待,395.06995647029623
不配,62.26680818235301
先,1.3629444224718812
竟然,4.3332453586563915
掉,-155.76005068527712
好好看,256.29648973214086
岁,161.0178867466995
颜色,225.63204111184717
现实,228.32284490078507
站,173.18185551096875
换,19.298698540653056
见,42.38730235205901
媳妇,145.26260806342134
优秀,390.525769976568
不敢,19.066878552676727
腿,137.63135915274916
过来,24.706616774142518
官方,194.85806326504908
容易,225.61875770751953
多少钱,58.87076699883269
年轻,506.7950247500399
想起,30.497212833212885
鸡,2.4446921986778527
灵光一闪,147.19590937440202
养,-176.8930980630551
学,174.69266186842077
回,18.324305011245336
确实,369.7045751970825
好人,741.1427088371701
成,88.69364620325871
注意,70.45524018693692
试试,39.269151426270184
适合,176.04544017180888
痛,49.188027724004144
大哥,262.7872129447235
变成,163.06950898079648
相信,208.58918763518335
钉,-332.3208010421825
成功,96.31797093351099
故事,234.65340203997755
才能,110.5210824833991
学习,298.1270538639709
到底,-5.715358319939838
今年,-61.21282919920086
加,122.40498881304116
起风,426.60697519069754
超级,453.395604945065
同款,195.22682186016692
演,330.7104724381181
作品,340.2887066187641
小朋友,113.13301156945133
游戏,24.250543473596878
赢,186.56686152686785
最好,327.3138588433743
先生,95.66259914706237
武汉,464.22937327664937
长大,206.95569122263203
老板,123.60859396527519
第一个,199.4102508743793
看完,-94.93976721985149
还要,2.6976130424015086
身材,478.251619034007
放手,345.24890491130225
心动,182.73044881095473
心里,222.49840896754102
非常,577.4636293134114
行,166.4320744773808
屏幕,-3.940898536623047
结婚,15.02679899999394
鬼,170.82582286826977
最美,661.0026195377038
号,-27.240130910817783
有点像,211.60072204764302
太美,509.5667432483408
越,175.5606739305259
拳头,737.6255606988743
说话,306.2952205973438
搞,53.632745874065456
写,-5.712652749641834
色色,588.171576101214
分,82.19058465483201
我会,98.91863392271706
真实,362.36826462365525
思考,-98.22522645720005
可惜,189.9320209104415
抱拳,875.930900474501
搞笑,497.98109794553056
每个,264.00855213320585
舔屏,573.4993067634946
少年,345.14163611475755
讲,343.8085624136313
隔离,27.150313189940604
骗,20.532954391520256
弄,2.2224158301384964
戒指,467.8252387699571
本来,93.04046893383595
坏笑,389.52981476114996
难道,-9.601483744245668
青筋,443.5125918476343
认识,212.75806181965493
小孩,145.46557955612514
那种,142.56555520322416
万,31.32035414440829
帅哥,481.9850967719082
超,446.31206128704184
医生,425.23103603562663
剧,93.24119214446947
更好,247.40886947131833
准备,-5.647997367126207
住,33.69165100000337
忘,38.82619469512516
锁屏,48.278188844764564
完整版,498.7760801582607
重要,256.44767031295197
明白,70.22914290108628
弟弟,169.75477379257688
单身,104.5959406113854
辣椒,147.6424502980434
旁边,72.06491138378573
睡觉,74.77313700259117
甜,297.6767529962329
右边,203.876362537557
姐妹,99.47779551902686
干嘛,96.64668995096325
婆婆,184.15692569690125
好美,499.43640964829837
意思,19.18547031549399
握手,714.0786578125756
听到,104.5768724832132
心疼,333.3502543488914
不吃,51.49812148065543
喷,71.34048333902976
歌名,331.2693418422688
尴尬,159.14382057897535
李,247.1408316527969
个人,29.969009352296986
陪,69.1234733384085
姑娘,393.20094065966566
下次,28.8704475807279
信,191.7567012288036
一看,162.32031691919468
三个,-6.080794762010047
遇到,130.60206457056222
震惊,-360.64282526360313
色色色,747.5693094236098
色,365.1785912446792
安排,109.34737994073048
丢,32.55927717296632
这才,412.2417880761674
几天,-67.50004321284374
工作,87.65041185868228
名,84.28748090699867
绝对,241.12614559775247
赶紧,-2.073423043725363
越来越,509.3889448888732
马,286.05523260227716
勤洗手,550.5324979261899
祝,616.2937273463505
看不见,108.2145787164441
刚才,-4.275120134943569
梦,163.75718836893515
集合,233.9367033737339
疼,154.208702290288
精神,365.13597497381807
值得,452.9335183779175
过去,78.51818438423862
这部,94.91934742441802
脸,106.18089620810684
头,-12.976358759555234
客厅,94.64719893766463
仙女,198.6660750231341
估计,4.544994345867863
愿,497.793501140285
对象,-2.5610104883403686
字,219.28393665506087
少,72.3709368455902
离婚,46.049252978137716
