,sentiment
捂脸,3.9324857977186634
套路,4.473924707817891
老罗,5.092640248759972
营销,4.541860558787935
直播,5.266240652013542
翻车,4.944261396869556
失误,4.85378356393657
买,5.64090028659492
赞,4.695961812013321
鼓掌,3.733868442775255
好,4.977301784923386
罗,4.379444522069001
故意,4.256535841932912
呲牙,4.321016726193346
老师,4.251286750507589
赞赞,3.7221727415035475
支持,4.224028670790098
没,5.1970346772893885
说,5.149647111079653
看,4.859441951006972
人,5.709258022916421
抢,5.290198335303192
蝴蝶,4.68188886862724
酥,4.582119465373463
做,5.295718485726368
这种,4.734112807265778
手段,3.68976614820535
不是,5.233833984433691
赞赞赞,4.390345579671864
加油,3.775723159898914
口误,4.784415327482272
觉得,4.548896683914146
感觉,4.670261791712046
两盒,4.743041188981559
喜欢,4.0666166592523005
没有,5.257103187677263
消费者,5.711999410354686
这是,3.9196717862205457
希望,5.049087031139485
知道,5.237228675834202
收到,5.107355889643308
真的,4.759693322385068
逼,4.428830268383033
立白,5.274888512636982
以后,4.815894034028301
下次,4.343872840277394
是不是,3.7058043935607783
牛,3.7587686128174482
广告,4.815069887017131
东西,5.181715955971077
大家,5.201642092553094
不错,4.061872943769707
真,4.676173310474253
错误,4.994174050916062
态度,4.574780893120071
价格,5.820355442015741
便宜,4.937457127566055
商家,5.280757549298865
良心,3.660466477184559
担当,3.9743237469679182
玫瑰,4.962325891249192
继续,4.170360959773086
一起加油,5.563052124944962
微笑,4.710643117507325
罗永浩,4.996617947248141
太,4.6264179455175825
抠鼻,4.757877247886414
现在,5.63738283950858
可能,4.905140011047456
应该,4.9285891037322305
龙哥,4.613042441569943
带货,4.938741245170676
不要,4.845945813585635
手机,5.077291979167943
想,4.641135800666952
比心,5.052954131177458
卖,4.74152824521556
昨天,4.646217740658741
赚,4.724828598777396
泣不成声,4.683030926420102
粉丝,4.811726911410757
玩,3.464788852370098
再,4.770365629872323
灵机一动,4.041430496490516
锤子,4.767846161319974
挺,3.4320303192355244
不到,4.237387189572076
泪奔,4.4098308512368405
团队,4.7309622119498975
买单,4.303495201284797
直播间,5.356259188997959
道歉,4.88068549801528
主播,5.422060192874481
一种,3.559627377643506
下,4.606438166117695
洗洁精,4.443091808400315
其实,3.9671876065909215
一次,4.328774504526834
负责,4.0783532359958246
不会,4.080152258491968
元,5.119280154609946
不用,4.038574459832163
这波,3.8569481071093463
认真,3.750134784306711
不能,4.668952304858902
事故,4.132375651976937
产品,5.414288944639617
钱,4.718680426085274
本来,3.985277713591381
专业,3.9985185003188644
需要,5.281534230263333
朋友,4.046977871641427
点,4.6201621393500405
下单,4.78623229969271
去,4.70540706652873
深,2.599889032139343
可乐,4.330751453660193
销售,3.748426592907065
京东,5.479119740881485
绝对,3.3422468689607565
看到,4.492900764147395
诚信,4.4620900283685945
已经,4.495064568676385
看看,3.9933580681172027
发货,4.962692870764505
得人心,3.0356047651004623
这才,3.8337706024046527
多点,3.135990873235395
非常,3.5989552059592125
发,3.8931264612487704
搞,4.186925359205459
策略,2.9146623783203554
点赞,3.502536632626659
有点,3.8459324998785998
实惠,4.275545497141591
方式,3.386284789022466
一盒,4.33168660717379
错,4.354917399018182
没事,3.461229703350538
问题,4.558890407755114
盒,3.890791952771637
出现,3.8950275119107514
太深,1.5487053591737943
老罗赞,2.4002363914465383
一下,4.393428827848373
送,3.7768823676717274
关注,3.8015957641274065
体面,3.2033165744693184
确实,4.033714907772863
大笑,3.802929995203895
严谨,3.5051392186056853
高手,2.528292842679062
流泪,3.6433465663039115
满满的,2.224848183747752
操作,3.798426342272492
哈哈哈,2.9477526387705493
福利,3.2911038581042797
老罗是,3.1378958721324968
厉害,2.877659860567527
酷拽,3.6187561434518543
真是,3.071493221127719
好样,2.6214279031272305
相信,3.25875227499441
剧本,3.2127704184173567
客服,4.548177580182315
新,2.7009082713677897
厂家,4.1632318699714554
开心,3.1528501524428307
根本,3.856031016829519
策划,3.0756916144545774
几次,3.611357278822685
货,3.878840468031166
每次,3.5659440410676586
值得,3.8323318890410203
带,4.360774921724287
明显,2.5182611509907042
多多,2.690312106792863
永远,3.350306642305008
出来,3.608680768439905
怀疑,2.689304282631219
补救,4.022837579437973
净水器,2.9280453480279087
补偿,3.9299114367241197
干,3.0884934730332043
三盒,3.11407912231895
补发,3.703070691608713
学习,3.43462557692553
请,3.3187789769284586
出错,3.318580851869114
信,3.0626059333546265
两瓶,3.610242456025884
哈哈哈哈,3.6272126093607167
事,3.8627013249017677
半价,3.8487803551967743
周五,3.175381157829481
有人,3.7028088095138827
设计,2.3732928920534286
翻,3.0425477474767963
这次,3.212181812582627
懂,3.121552323290683
期待,2.810062541992347
准备,4.0265570308734855
错过,2.7780427384023683
一点,3.262391166862512
越来越,2.6799162306646287
找,4.001602092098246
信任,3.3838078512263343
低级,3.060016225462509
口碑,3.7544733724828623
感谢,3.2145176559131547
真诚,2.7265975931297035
罗哥,2.7308369935496595
一场,3.095673768402576
发呆,3.0766726532161623
事件,2.4170057872306305
实在,2.4388254409012724
昨晚,2.7224535806826715
之前,3.842595507675709
今天,3.511088474179
行业,2.996175747613899
后,4.321454990334791
呵呵,2.5008863619023063
直接,4.045740988886326
赔,3.3312064765187177
幻灯片,3.248590157214963
链接,3.951479421156143
商品,3.955738667447033
超市,3.2226690629883663
说错,3.779201710801101
男人,2.8453984732553304
老,3.2247077455154036
一瓶,3.2796125139851258
别人,3.079648632972921
优惠,3.463680882061894
以为,2.672761501468302
模式,2.9199425200185267
车,2.8637804628262633
老罗牛,2.3379012612968446
抖音,3.5564714138770235
赚钱,2.8240548420527016
交个,2.7369644437891356
安排,2.6192954286349783
损失,3.2858956854699235
自古,2.335218628285012
细品,3.2482339074632662
成功,3.174264905927666
坑,2.5680176658681537
总,2.614489714937731
卖货,2.910771250524589
事情,3.049193092071632
打脸,2.942359274121041
茶叶,3.5031690214794495
一波,2.5629035616616767
责任,2.511661907006144
小,3.1456540747491464
客户,3.6444452824000715
肯定,2.7265482364782656
满满,1.8141338814061847
效果,2.823716060282434
用心,2.24430110786532
反正,2.2599121071746073
退款,2.954696953964122
不好,2.86001576394493
经常,2.3499098685249913
快,3.2413499335312275
拍,3.099454854454145
为啥,2.5413505267509984
得到,2.8352250986812795
没买,2.6212968329565802
抢到,3.2973181017005753
一定,3.007649107811838
必须,2.361566326341835
现场,2.749653626317083
佩服,2.6715987943031596
原因,2.7948669093002927
越,3.296637153800494
容易,2.4519933346879657
亏,2.526582408832401
发怒,3.1569255769292432
啥时候,2.123023790798083
处理,2.5317319734337467
高,2.45701599247604
走,2.5538339296748234
几个,3.055279076676106
品牌,3.20118271686181
给力,2.393242456522549
人品,2.2404253968004535
想买,2.4700551276646405
视频,3.165985734257558
提前,3.1843309840305536
老板,2.7490947934979255
天天,1.879778057534004
人气,2.5625991717727343
理解万岁,1.9393988460262348
机智,2.218696058813471
到位,2.028203791247221
问,2.892862734316262
完,2.6455505688559438
没关系,2.079516485436264
明白,2.5487558286240635
漂亮,2.2540002773750185
解释,2.643475013529083
估计,2.616421638207471
块,2.908560227368883
笑哭,2.4721704723568694
解决,2.9544660796440354
情况,3.069495871849866
谱,2.2190798552944684
顶,2.6153481021341127
耶,1.7357018548315115
不行,2.5734636325426674
还要,2.7648353349694164
多来点,1.8499231880824858
难道,2.3653005564420377
建议,2.748722158967242
两个,2.551200141139055
工作人员,2.5601058462215645
价,2.1854764136728875
活动,2.4813909152578884
补,2.913880452941603
好吃,2.227404156173839
亏了,2.322843568047562
谢谢,1.7074295725996491
罗总,1.951986404650655
有没有,1.9767468506596908
以前,2.4440323896685934
就要,2.9073117942863007
承担,2.632806854962798
商业,1.5420109465348832
够,2.3883691111804346
偷笑,2.2452553209861845
听,2.6288033563800868
诚意,1.8694628321080091
最后,2.794847036611916
做到,2.834635029450921
小米,2.0560038556725697
决定,2.799463998406938
爱,1.9803220689130088
订单,2.95683029047767
标杆,2.2356646447399187
接受,2.252790478837966
贵,1.7913392253162452
网红,2.956199120515618
看来,2.088549743791652
了解,2.409677794250091
正常,2.4219750150898394
到底,2.3827698726146935
你品,2.040602649241247
愿意,2.2669057295912016
欢迎,1.6290846424891767
联系,2.458547376352643
时间,2.3436409644814225
犯错,2.229947273000236
评论,2.457386986658382
老罗有,1.720996329932159
不信,2.0812589921415725
告诉,2.533213754816188
卧槽,1.5298148787995376
讲究,1.517466661836754
买不到,2.4907464281353904
捡漏,1.8657400538535192
套,1.9280763865936463
赔钱,2.131291334137944
多一点,1.6520021747199438
老罗点,1.1584413746891467
你老,1.6861967986022817
占便宜,1.912376239147074
就算,2.1038526065200633
当时,2.5294347611359376
购物,2.3235823876709856
才能,2.6371951509561775
发布会,2.4446844203610145
盐趣,2.181225370788195
打广告,2.0488591605566517
宣传,2.7339370035343094
理解,2.084095521875937
傻子,1.9451716239098276
重要,2.0673002045291486
里,2.5168206926756684
演,1.7896657033513228
火腿肠,2.2316520411247227
原来,1.858508078813602
吸引,2.698928480396146
这点,2.8223442220341455
好多,2.4445343358736986
淘宝,2.604467582025289
厂商,2.658834476757833
老罗在,2.2418738861688308
行业标准,2.2142091383895215
挨打,2.460001862494461
吃,2.601516786673497
流量,2.5616507299146862
信息,2.7382895626001935
购买,2.179478754127041
努力,2.558010952185854
比较,2.2061805244926687
后悔,1.6096992532133072
电商,2.431882254093332
可惜,1.7797446825831336
做事,2.127632652615468
认为,1.9875470210485178
利润,2.083238390498267
真正,2.265021891793468
退,2.149879979501181
消费,2.4517697933525673
第一,2.0890078854521046
补救措施,1.9082007558150653
威武,1.6564404814166185
白眼,2.2468537454051107
承诺,2.6967899254226753
多来,1.546760223274536
差价,2.3918316731997145
明明,2.1363336729380666
高明,1.166387766935956
占,1.9302884765436104
第一次,1.5437263753512152
见,2.021985278394114
不看,1.4926957110082653
带来,2.3128200888467116
诚恳,2.231012875632532
块钱,2.2634438905606027
一句,2.3154374573291725
大牌,1.9592815389953395
秒,2.75799924638161
冰红茶,2.3714671934393543
勇于,2.1410620589054643
大气,1.2582164444560529
立正,2.2411500397300115
进去,1.785425030658987
一套,1.4574918264009122
送心,1.9729574630543656
换,2.037354982813839
退货,1.7581391046600592
简单,1.8272966454982569
发现,2.1468126586307266
企业,1.955561615216669
不对,1.5955743776476239
个人,2.1259713188021907
助理,2.418162309733127
鬼,2.0446382152935874
路,1.5536616875258245
我要,2.2891849250962943
起来,2.1399073354229277
后来,2.1963520521741957
炒作,2.227410108139252
促销,2.7210641043213935
不了,2.0034093175268053
敞亮,0.989883463945071
毕竟,2.5787325752360273
下去,1.7650796267548556
原价,1.9787101365353472
能量,1.9025733286506932
先,1.798854585204035
注意,1.9669017539096418
想要,1.7924225094633028
营销策划,1.9289237617846366
假,1.2635194521644904
一箱,2.5129285647526394
写,2.2097886119195804
心疼,1.1751324275442308
一个亿,1.4207954567767462
汉子,1.7736085738120768
失望,1.6882759059228842
上架,2.2178107674420584
做好,2.079074620053272
风格,1.5076714150346315
口香糖,2.249064169657453
做人,1.8414241179509894
广告费,2.025569680323395
时代,2.2275262410745453
意外,2.123972048660499
威猛,1.9278028763607598
平台,2.2032518335844644
敢,1.934126600964599
方法,2.1755868993015715
几百万,2.030128184369577
做法,1.6941918901725515
豪横,0.9316142409349266
差,1.9021385364353804
真实,1.7129360389478723
一件,1.824033255071614
敢于,2.116638851220787
少,2.228915725114306
全程,2.137711475825701
标准,1.6174806152716759
抱拳,1.5833094606198461
增加,2.2651652745165265
记得,1.654604607082327
没人,1.2790110867816065
特别,2.050719430787411
聪明,1.5541901237907614
说话,1.817795860531864
树立,1.9685349029256702
做生意,2.1185041815416548
推荐,1.777064630272958
棒,1.2662684041732046
唯有,1.9578501535902415
狠,1.7479414664747845
再次,1.9145688484220544
样子,1.797838389009612
人生,2.052497908175103
晚上,1.27759567007834
相声,1.8602930266604132
漏洞,1.0610922644679008
捡,1.802237894964552
商人,1.8314480326299216
眼睛,1.721522706119779
老罗做,1.1377561059012766
短信,1.7099307342354435
好像,1.988946191138544
最好,2.0096241489932494
有意,1.2878042389802187
花,1.9669430602086795
就行,1.5605277492861083
制定,2.0827780940199174
这样的话,2.2718918226404696
到货,1.6831097939808404
辛苦,1.0501302925720366
事先,1.4887890069543377
一看,1.1472544110165313
不是故意,1.5016394703564906
多少钱,1.6975294394294282
破产,1.3900462683401074
话题,1.8423383929381973
挣钱,1.6414492669692586
多多益善,1.0560887229596492
值,1.6697002324551506
补贴,1.7825475209641806
还会,1.6045742531473046
二,2.1970204924624364
买买,1.4350792496595786
顾客,1.931401655743793
真心,1.540350560492401
成本,1.7287197754194987
卖家,1.6614320984045674
显示,2.349431353141072
爱心,2.0460615423446016
关键,1.5984818503799674
演员,1.399245425973346
信誉,2.0462483849482718
挣,2.2178696065398955
多一些,1.4861787681658158
笑,1.5900683434840936
一切都是,1.3676626624583688
歉,2.3335345956761238
后面,1.7394136998410754
坐等,1.2088753828421739
机会,1.314369023121908
越多越好,0.8135158447426172
竟然,2.162842504596858
总是,1.3759241596991343
合作,1.2730389190063458
卖车,1.3952556330059518
先生,2.0327011367914314
成为,2.0848048784483932
解决问题,1.4532126023100929
说实话,1.190470398248646
品,1.5411249475039805
回,1.8551108140165589
哥,1.6132631155782606
不失礼貌的微笑,1.657616925556885
爷们,1.2040433472360519
付款,2.062667021075001
赚到,1.693094130287204
小心,1.7744478547111902
确定,1.4223900994308192
优秀,1.034134481082062
全部,1.806807914544925
不够,1.7904737493905714
播,1.7508875577402998
放心,1.0644791038915282
毛病,1.029354181412093
导演,1.3654976089624455
划算,1.317567216735965
圈粉,1.4998858019951777
犯,1.5299919036987255
两次,1.538505152277538
亏本,1.4473119610513563
人心,1.8081527642821609
中杯,1.4282896538648926
尽量,1.6015316480719481
方便面,1.759738442774914
制造,1.7811451535930174
不愧,1.4547039193203326
最大,1.273177992683319
无所谓,1.4110794347164615
二发,1.9664746334328287
一如既往,1.3696968455971406
多人,1.4065480014695297
单纯,1.9690612938637329
只发,1.5265988699162054
味道,1.2571751621523606
每场,1.1255194519701144
问问,1.5376566864233283
哒,1.3306846995362958
喷,1.4164870618656367
兄弟,1.354989543222
文案,1.7152166841638097
号,1.5344615288758283
吸粉,1.249855927412375
高级,0.8809715800475122
强壮,1.4759532475832655
推销,1.6981389345614182
净水机,0.8819178933727885
困扰,1.5632792199042282
农村,1.3445153485732515
像是,1.3215232421999181
确认,1.7623353765548397
收货,2.0513429956359905
瓶,1.4676070496769769
通知,1.3136557237230921
垃圾,1.863723673611253
电视,1.6355613896803574
所有,1.669176359731948
快递,2.2776052620157046
变相,1.3927290363971592
实际,1.2910881421709433
方案,1.1520671590054636
说到做到,1.488139682468137
上次,1.2021059332444235
社会,1.3370971844166646
只能,1.296523130527516
看着,1.3240859829754101
唯一,1.6838772240451272
算,1.6519182082405046
心里,1.5836346532713912
赶上,0.9368369223142721
买家,1.6079797934808133
严重,1.1819242704848858
怕,1.6429631523582997
假装,1.279455980125681
弥补,1.6098727175169414
万,1.249239194634991
羊毛,1.472085793763203
太少,1.403968365800902
呆无辜,1.3326492797804044
嘴,1.5146222398494191
变,1.2816690758564766
心,1.208179272213157
成,1.6092993792971368
故事,1.4452961944609846
坏,1.5731296910789097
来看,1.0760528597026346
不想,1.3066017478392635
搞错,1.3840678328954161
小龙虾,1.1690160803275031
慢慢,1.175018505876242
眨,1.3848409549148355
情怀,1.3595727329884648
推广,1.6406417327234655
舒服,1.5259743046253176
我信,1.2477273620206624
大型,1.2035741750115714
失败,1.4579460565476308
拉,1.5230836938048327
打开,1.8554986155166286
承认错误,1.6317309761263776
早就,1.571176546517813
熟悉,1.3826445977742159
变成,1.8423800349539432
信不信,1.3797433662118395
人设,1.9305439546100398
不得不,1.2838126801383354
中国,0.9938973730264647
行为,1.0559107768180485
火,1.0522966422462972
鲜橙多,1.703996280807334
热度,1.0214176316134795
不让,1.3451255972303304
不少,1.4343047527272026
泡面,1.477328150557081
真假,1.3231203998502463
网络,1.3908650853811122
第一个,1.3551033020372962
调皮,1.2523660489099644
求,1.5731808882266796
生气,1.4948300243167778
霸气,0.7628182880868807
难,1.456025953238044
话,1.6534181957799208
原谅,1.155504116244468
下一场,0.9748692089669397
城市,1.1726936019006071
说成,1.3343319882378302
好好,1.3053924998453112
完全,1.2629451058138843
炒,1.4587952861695048
承担责任,1.4920494062408913
太多,1.382372951009374
死,1.3230340635087234
道个,1.6602858946016732
就行了,1.1266658496500193
龙虾,1.3495429809171058
留不住,1.7482854918004005
意思,1.2748716528529238
咖啡,1.3118065422965106
至少,1.772200314065933
物流,1.711817903143829
突然,0.9620944951660165
猛烈,0.8935356637941798
买到,1.0518636114320223
思考,1.3087851622626956
生意,1.3232895833987937
好赞,1.2592858766479025
粉,1.4652608610912081
帮,1.1935226460788717
站,1.4643870111032111
老罗挺,1.0074229772622023
货主,1.3029402370631056
界,1.2707149220333966
黑,1.2904478057675288
立,1.5399796930498764
彪悍,1.2675468944506885
人赞,0.9754703111833569
依然,1.390265754303471
不买,0.932876367655135
说明,1.1615148957612327
骄傲,1.3847380449728477
同样,1.1650430896010908
三,1.434635397779986
大哥,1.1691879737566502
害羞,0.8691976122375413
早,1.2390141251365123
点心,0.7171850727822844
受益,1.1666147568196867
影响,1.7326667792874242
多年,1.2193801480084694
妈,0.9371442248944472
责任心,1.0039896433053248
赢得,1.6452709683035334
滴,1.0702969535434215
睡,1.424938850437925
认,1.2190280325636662
好事,0.9940250861208642
这一波,1.079755476682974
我会,1.1205007299525724
弄,1.3748091988134876
薅,1.3293114636609777
严格,0.9766949691312725
宰,0.9803508799681484
进来,1.4188182710338908
一哥,1.0953263980327086
所谓,1.2191691417383934
输,0.7409316903360648
梗,1.3899982272311906
月,1.7576825435744352
最近,1.250346890374204
原本,1.5353813044496425
实在是高,0.6914150305557167
审核,1.4419106088658458
些,0.8001546972374647
工作,1.2898029499785624
还好,1.0610196709362407
厚道,0.6720972225460633
措施,1.0882844465147068
牛逼赞,0.8580874616978628
昨天晚上,1.021743034203789
提升,1.3657050340657457
发生,1.1582441754577075
目的,1.4602218427604114
尴尬,1.5627485278948656
一手,0.9902849452053638
橙子,1.520375330810265
稳,1.2425610010868275
看出,1.4514573669919364
捡便宜,0.8310787684340046
来说,1.2175195902545153
完美,1.3761124940790876
改正,1.1834187485244052
老罗真,0.6955908171935625
不好意思,1.036312403859447
强,1.4992069634593213
案例,1.2627162386072746
行,0.9545847271398828
一半,1.0473039044508428
麻烦,1.4190190763178716
不断,1.1325167079068605
万岁,1.1231733291952546
返现,1.4228439649001594
这招,1.082654877091084
精,0.8230608637354313
老是,0.9128941972522038
公关,1.012320582381362
吐血,1.5723010682719853
一起,1.0415678554481662
过来,0.8804368341958526
八马,1.3287067988746215
能力,1.360850006005238
牛肉,1.1835413168639306
真情,1.4824856625568121
刷,1.3342759457285238
实实在在,1.2077184696087997
天,0.956619396631186
诚实,0.9132288544293594
眨眼,0.9134740769381358
全棉,0.9450407567672826
抢购,1.3651584526272629
取关,1.1977080076643536
浩哥,0.8039503463775489
多次,0.9491432664964783
开,0.9159435178696256
赔偿,0.8816775240082267
千万,1.006373488769156
简直,1.1182963050551153
砸,1.4193418864524823
居然,1.3378013142814793
三个,1.4748752672964445
小钱,1.5996754839322223
后续,1.5341759158576065
同志,0.7444805495347503
很大,1.3100996500369053
技巧,1.153441322536737
知错,1.222784541311397
折,1.4677002874182516
愧疚,0.8863321438155867
负责人,1.0834365250837994
平时,0.9996928291032233
赢,0.8849419251593571
戴口罩,1.4132673484202223
信赖,0.8709793962315673
办法,1.2519129928856136
打折,1.4930627072718416
旁边,1.2762561428513757
心理,0.9174427203673479
讲,0.8848018648131191
很棒,1.1424665981795072
万人,1.1386587476701149
老罗靠,0.8034575728912279
认识,0.8790083384434983
单,0.8938331224599156
打不开,1.3136222563673243
必要,1.0077422113469956
偶像,1.1902195907832605
花钱,1.070506977591327
头,0.9632643411474873
终于,1.1668609467045887
那种,1.3160098467344497
地方,0.9887342328884583
二次,1.1488119595176847
生活,1.1055596229694609
造成,1.1684092311069336
队友,1.001431796821425
计划,1.2280715109083469
大事,1.0888574411806022
香皂,1.0671511739991386
低,1.0130735242913353
翻得,1.233146739591216
清楚,1.1171484122398836
遇到,1.0963178628539971
习惯,0.8803547388569406
自然,1.361667620646668
节奏,1.1246584565053501
转粉,0.8898700767673473
上去,1.1593109669281
亿,1.179042067244806
人为,1.3756236578918537
坏笑,1.4945396621469629
特意,0.8747906286928016
不理,0.7900583381400672
好不容易,0.925935712560437
这下,1.0872231655105176
差点,0.8943096967031234
刚刚,0.7125164221750879
工资,0.6050974888273913
售后,1.1021898137881991
不说,0.908317039326102
就够,0.831732741553473
铺垫,0.7873724667845846
形象,1.0172833989884653
几十万,0.9508741273887527
铁观音,1.2631752245858108
互粉,1.0315529870758962
热点,1.178035346432537
硬气,0.6623709437655042
惊喜,1.0709556540551164
打的好,0.9723317425804658
毛,1.174442685338434
得意,0.8332379129767562
连续,1.0969374971949937
很深,0.34974737620325425
有点儿,0.9973989751565644
刚,0.6529519883913879
妈呀,0.8322739965759923
连环套,0.6915785923248262
纯,0.8924125278067607
彩排,1.152162666329072
双赢,1.0988585055774696
清扬,1.0944297722308232
自导自演,0.8940706484194331
太牛,0.8027666483940121
听见,0.9124894384450601
理由,1.1592861316667187
坚果,0.7798187859011274
反而,1.034582998991204
认错,0.9666176326276448
不像,0.9633983268975288
取消,0.9133654460543881
杠杠,1.1935643380819356
很快,1.1041547260698121
棒棒,0.9639368386835636
更加,0.989833945849677
高赞,0.6156086034035864
九块,1.0341017505892043
经典,0.905972307263049
观看,1.3559267145690512
每个,0.9725298547082593
无,0.8383573632942648
开除,0.6300590153621303
地区,1.1439816632238622
面对,1.02354211160689
太快,0.8330446370339737
可怕,0.968629392940972
写错,0.8930902313522133
学到,0.8217255222871853
罗志祥,0.6894588579313612
早上,1.1181369548538953
不亏,0.6884607612979443
观众,0.768473409802201
心态,0.7528689082237201
下来,1.1819866600017384
含泪,0.8984578441689053
一分钱,0.8523535475338937
库存,1.2276350679341292
大杯,1.038425747155447
写成,1.075383616784856
挑战,0.9795815537005439
好处,0.9294047544173796
表示,0.8831860058887946
看老罗,0.7538503750181311
车翻,0.9567221372244179
出去,1.266074098976276
老罗为,0.7290084860776145
牙膏,0.7621451118476139
看好,0.5820440701946535
不敢,0.8692424973000592
王,0.7564387018019086
现金,1.243799913905534
老婆,1.0858473585719053
最起码,0.8447009967129183
男,1.4485490703629922
多翻,1.0345601422029003
真棒,0.5957205487738273
申请,0.738775346195478
坚持,0.9318725593756414
下场,0.6312273502454067
点开,0.8087419477476585
酱,1.3460058742985748
赠送,0.7389676438461744
洗脸,1.0478257353594853
一边,0.8243742416071674
区,1.2201756186689314
憨笑,0.8589724083536204
某宝,0.839358694761239
更好,1.044351856835034
多万,0.7838895063783906
打算,0.9616990226889381
能够,0.9949773798080104
没意思,0.2748058563195913
永不,1.1533566534202424
再有,0.5748780118422935
实体,0.6784265433262194
